,scenario,plan,worker,syncthreadpoolsize,image,notes,http_reqs_count,http_reqs_rate,checks_passes,checks_fails,iterations_count,iterations_rate,virtual_users_max,virtual_users_min,virtual_users_max_max,virtual_users_max_min,http_req_blocked_avg,http_req_blocked_max,http_req_blocked_med,http_req_blocked_min,http_req_blocked_p90,http_req_blocked_p95,http_req_connecting_avg,http_req_connecting_max,http_req_connecting_med,http_req_connecting_min,http_req_connecting_p90,http_req_connecting_p95,http_req_duration_avg,http_req_duration_max,http_req_duration_med,http_req_duration_min,http_req_duration_p90,http_req_duration_p95,http_req_receiving_avg,http_req_receiving_max,http_req_receiving_med,http_req_receiving_min,http_req_receiving_p90,http_req_receiving_p95,http_req_sending_avg,http_req_sending_max,http_req_sending_med,http_req_sending_min,http_req_sending_p90,http_req_sending_p95,http_req_tls_handshaking_avg,http_req_tls_handshaking_max,http_req_tls_handshaking_med,http_req_tls_handshaking_min,http_req_tls_handshaking_p90,http_req_tls_handshaking_p95,http_req_waiting_avg,http_req_waiting_max,http_req_waiting_med,http_req_waiting_min,http_req_waiting_p90,http_req_waiting_p95,iteration_duration_avg,iteration_duration_max,iteration_duration_med,iteration_duration_min,iteration_duration_p90,iteration_duration_p95
0,synccpuintensive,consumption,1,1,pywinder-nologging-wrk1-stp-1,no logging in _handle__invocation_request,790,2.623188039917471,790,0,790,2.623188039917471,25,1,25,25,0.013232911392405,1.256,0.002,0.001,0.003,0.010199999999999002,0.006984810126582,0.41300000000000003,0.0,0.0,0.0,0.0,8419.22801265823,16088.942,8945.4235,1709.848,9158.0245,9200.0651,0.10390379746835401,11.502,0.049,0.034,0.14700000000000002,0.309849999999999,0.015401265822784001,0.14400000000000002,0.012,0.008,0.027,0.034,0,0,0,0,0,0,8419.10870759493,16088.719,8945.3685,1709.798,9157.962500000001,9200.00935,8419.728757588604,16090.043455,8946.163441,1709.955198,9160.052406,9201.06837305
1,synccpuintensivesleep,consumption,1,1,pywinder-nologging-wrk1-stp-1,no logging in _handle__invocation_request,145,0.43934137552670105,145,0,145,0.43934137552670105,25,1,25,25,0.073393103448276,1.2810000000000001,0.002,0.001,0.328999999999999,0.45739999999999903,0.04767586206896501,0.491,0.0,0.0,0.24139999999999903,0.33019999999999905,45484.45117241379,55639.598,55074.42,2216.713,55465.6578,55600.8272,0.09806896551724101,0.644,0.055,0.034,0.19339999999999902,0.42039999999999905,0.025372413793103003,0.17400000000000002,0.013000000000000001,0.01,0.06760000000000001,0.08119999999999901,0,0,0,0,0,0,45484.32773103447,55639.502,55074.318,2216.434,55465.592800000006,55600.7474,45483.28416842069,55638.020101,55072.878853,2218.265441,55464.1140402,55599.2578446
2,asynccpuintensive,ep3,1,20,pywinder-wrk1-stp-none,,871,2.894463731638349,871,0,871,2.894463731638349,25,1,25,25,0.012063145809414,0.863,0.002,0.001,0.002,0.017,0.006644087256027001,0.504,0.0,0.0,0.0,0.0,7615.111927669351,16190.891,8176.766,1278.854,8241.527,8264.6895,0.13618254879448902,1.299,0.055,0.032,0.417,0.521,0.014981630309988002,0.15,0.011,0.008,0.027,0.0345,0,0,0,0,0,0,7614.96076349024,16190.626,8176.599,1278.806,8241.462,8264.633,7615.0114001791,16191.622396,8176.666769,1278.900451,8241.368709,8264.529966999999
3,asynccpuintensive,consumption,1,5,pywinder-wrk1-stp-none,,773,2.561859664336861,773,0,773,2.561859664336861,25,1,25,25,0.013095730918499,0.6980000000000001,0.002,0.001,0.003,0.019,0.007579560155239,0.505,0.0,0.0,0.0,0.0,8602.578201811113,16645.643,9204.256,2569.556,9326.9768,9360.1752,0.129050452781371,9.912,0.05,0.031,0.22680000000000003,0.40340000000000004,0.015266494178525,0.122,0.012,0.009000000000000001,0.027,0.034399999999999,0,0,0,0,0,0,8602.43388486416,16645.497,9204.205,2569.466,9326.6878,9360.0174,8602.453647075037,16646.1024,9204.061393,2569.631024,9326.84372,9360.0239172
4,asynchelloworld,consumption,4,5,pywinder-wrk4-stp-none,,34203,113.99626876943915,68406,0,34203,113.99626876943915,100,1,100,100,0.004626494751921,2.1,0.002,0.001,0.004,0.004,0.0015510042978680002,1.94,0.0,0.0,0.0,0.0,812.1253411981448,2484.251,796.163,3.782,1303.3426,1490.6754,0.6123869543607341,196.631,0.044,0.015,0.24979999999999902,0.528,0.016095664123028,0.47400000000000003,0.015,0.005,0.022,0.025,0,0,0,0,0,0,811.4968585796626,2484.159,795.955,3.749,1303.2018,1490.4482999999998,812.2311973388006,2484.359713,796.285369,3.861389,1303.4451571999998,1490.7569528
5,synccpuintensivesleep,ep3,4,1,pywinder-nologging-wrk4-stp-1,no logging in _handle__invocation_request,546,1.787031853499128,546,0,546,1.787031853499128,25,1,25,25,0.016824175824176002,0.927,0.002,0.001,0.003,0.023,0.009569597069597001,0.34700000000000003,0.0,0.0,0.0,0.0,12295.959831501837,14927.955,13471.965,2215.663,14531.7735,14602.914,0.12336263736263701,2.827,0.057,0.03,0.337999999999999,0.47100000000000003,0.017040293040292,0.107,0.013000000000000001,0.009000000000000001,0.028,0.041,0,0,0,0,0,0,12295.819428571422,14927.9,13471.9115,2215.376,14531.6445,14602.70825,12295.734368087908,14927.624818,13471.680313,2215.749669,14531.4551045,14602.5825515
6,synchelloworld,consumption,4,10,pywinder-nologging-wrk4-stp-10,no logging in _handle__invocation_request,49333,164.42803330483432,98666,0,49333,164.42803330483432,100,1,100,100,0.0034403543267170003,0.769,0.002,0.001,0.004,0.004,0.00057107818296,0.606,0.0,0.0,0.0,0.0,562.8091627105595,1506.408,587.075,3.559,800.9746,906.5519999999999,0.662698396610757,287.994,0.042,0.014,0.268,0.596399999999994,0.015462793667522002,0.33,0.014,0.005,0.021,0.025,0,0,0,0,0,0,562.1310015202816,1506.031,586.654,3.43,800.7574000000001,906.1671999999999,562.9575503463572,1506.522842,587.260676,3.634568,801.1485366,906.646723
7,asynchelloworld,ep2,4,1,pywinder-wrk4-stp-1,,65597,218.63916314406256,131194,0,65597,218.63916314406256,100,1,100,100,0.003418022165646,1.687,0.002,0.001,0.004,0.004,0.000538606948488,1.5310000000000001,0.0,0.0,0.0,0.0,423.33934539689375,1807.552,192.905,4.844,1322.0366000000001,1493.8264,0.328541549156221,75.283,0.048,0.017,0.343,0.581,0.016580758266383,0.464,0.016,0.007,0.021,0.023,0,0,0,0,0,0,422.99422308946816,1807.484,192.765,4.795,1321.4672000000003,1493.6868,423.4879029079237,1807.606216,193.046296,4.9761869999999995,1322.1682320000002,1493.9985611999998
8,asynchelloworld,ep3,1,20,pywinder-wrk1-stp-none,,119515,398.35295759247373,239030,0,119515,398.35295759247373,100,1,100,100,0.001917039702132,1.458,0.002,0.001,0.002,0.002,0.00026060327155500004,1.3639999999999999,0.0,0.0,0.0,0.0,232.21605787558093,667.568,248.297,3.548,265.7636,271.991,0.096992503033131,8.253,0.031,0.017,0.28200000000000003,0.357,0.010942827260163001,0.399,0.011,0.006,0.012,0.013000000000000001,0,0,0,0,0,0,232.10812254528605,667.435,248.181,3.513,265.666,271.89089999999993,232.29949783663074,667.617504,248.379355,3.629982,265.8568824,272.0872242
9,syncsendingsyncrequests,consumption,1,1,pywinder-wrk1-stp-1,,4344,14.476854179586777,4344,0,4344,14.476854179586777,100,1,100,100,0.014177255985268,1.391,0.002,0.001,0.003,0.003,0.008812615101289,1.151,0.0,0.0,0.0,0.0,6427.098395027632,23201.513,4759.496999999999,56.191,13667.102300000002,17900.105149999992,0.066589318600368,9.544,0.046,0.035,0.062,0.151699999999998,0.015585174953959,0.227,0.014,0.009000000000000001,0.016,0.018000000000000002,0,0,0,0,0,0,6427.016220534073,23201.451,4759.437,55.511,13667.043200000002,17900.036449999992,6427.029275744236,23200.937142,4759.4680785,56.363983,13666.846898400005,17899.731581449993
